Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1068445686465810000,rt : approves plan to launch over broadband internet satellites via ...,spacex,30-11-2018 10:04,30-11-2018 05:04,30-11-2018 15:34,0,0,0,0.787,0.213,0.4019,0,0
1068448307129820000,i wish i had thought of this - elon musk spacex stopdrymarkeritis,spacex,30-11-2018 10:15,30-11-2018 05:15,30-11-2018 15:45,0,0,0,0.769,0.231,0.4019,0,0
1068450639364140000,higher computing feeling a bit like might go to mars today might not THINKING FACETHINKING FACETHINKING FACEdecisions spacex,spacex,30-11-2018 10:24,30-11-2018 05:24,30-11-2018 15:54,0.25,0.5,0,0.789,0.211,0.4588,0.25,0.5
1068452498682330000,rt : i'll be at on tuesday for the falcon launch! hope to see you guys there! (video credit: space...,spacex,30-11-2018 10:31,30-11-2018 05:31,30-11-2018 16:01,0,0,0,0.736,0.264,0.7256,0,0
1068454172603770000,this was the launch of the south korean kslv-ii tlv rocket       rocketrundown rocketlaunch nasa...,spacex,30-11-2018 10:38,30-11-2018 05:38,30-11-2018 16:08,0,0,0,1,0,0,0,0
1068454623915240000,rt : this was the launch of the south korean kslv-ii tlv rocket       rocketrundown rocketlaunch nasa imageoftheday scie...,spacex,30-11-2018 10:40,30-11-2018 05:40,30-11-2018 16:10,0,0,0,1,0,0,0,0
1068456214667770000,you won't see elon musk smoking weed in public again nasa admin says jimbridenstine elonmusk spacex nasa weed,spacex,30-11-2018 10:46,30-11-2018 05:46,30-11-2018 16:16,0,0.066666667,0,1,0,0,0,0.066666667
1068460183825850000,spacex to launch satellites including orbital reflector - universetoday - prescientinfo america,spacex,30-11-2018 11:02,30-11-2018 06:02,30-11-2018 16:32,0,0,0,1,0,0,0,0
1068475778285860000,rocket report: lots of new engines spacex review explained bfr changes arstechnica,spacex,30-11-2018 12:04,30-11-2018 07:04,30-11-2018 17:34,0.136363636,0.454545455,0,1,0,0,0.136363636,0.454545455
1068478784502920000,spacex to launch satellites including orbital reflector - universetoday - prescientinfo america,spacex,30-11-2018 12:16,30-11-2018 07:16,30-11-2018 17:46,0,0,0,1,0,0,0,0
1068479447039460000,the washers of the spacex winners: fasteners washers spacex hyperloop,spacex,30-11-2018 12:18,30-11-2018 07:18,30-11-2018 17:48,0,0,0,0.744,0.256,0.4767,0,0
1068480402141120000,rocket report: lots of new engines spacex review explained bfr changes,spacex,30-11-2018 12:22,30-11-2018 07:22,30-11-2018 17:52,0.136363636,0.454545455,0,1,0,0,0.136363636,0.454545455
1068480837769920000,follow alert she will be covering the crs- launch nasasocial spacex,spacex,30-11-2018 12:24,30-11-2018 07:24,30-11-2018 17:54,0,0,0,0.82,0.18,0.296,0,0
1068483052236480000,reportedly prompted by elon musk's behavior on comedian joe rogan's podcast this past september according to the...,spacex,30-11-2018 12:33,30-11-2018 07:33,30-11-2018 18:03,-0.25,0.25,0,0.86,0.14,0.3818,-0.25,0.25
1068483743231500000,if you're not in space you're not in the race spacex nasa solarsail,spacex,30-11-2018 12:35,30-11-2018 07:35,30-11-2018 18:05,0,0,0,1,0,0,0,0
1068483860881640000,nasa chief says elonmusk won't be smoking weed again after launching investigation into spacex,spacex,30-11-2018 12:36,30-11-2018 07:36,30-11-2018 18:06,0,0,0,1,0,0,0,0
1068483945392680000,nasa chief personally ordered safety review of spacex boeing: report,spacex,30-11-2018 12:36,30-11-2018 07:36,30-11-2018 18:06,0,0.3,0,0.763,0.237,0.4215,0,0.3
1068485119948700000,finding the cloud under the sea: chips with everything podcast technology telecoms internet facebook spacex,spacex,30-11-2018 12:41,30-11-2018 07:41,30-11-2018 18:11,0,0,0,1,0,0,0,0
1068486327031810000,rt : check out this monster mars rover being developed by ROCKETAUTOMOBILE space nasa spacex elonmusk mars moon earth tech ...,spacex,30-11-2018 12:46,30-11-2018 07:46,30-11-2018 18:16,0.1,0.3,0,1,0,0,0.1,0.3
1068490340829660000,rt : how excited am i for next week's spacex launch of supplies to the iss and return to launch site landing of the falcon bo...,spacex,30-11-2018 13:02,30-11-2018 08:02,30-11-2018 18:32,0.1875,0.375,0,0.906,0.094,0.34,0.1875,0.375
1068491602396620000,come join me at this tuesday for the falcon launch! hope to see you guys there! (video c...,spacex,30-11-2018 13:07,30-11-2018 08:07,30-11-2018 18:37,0,0,0,0.738,0.262,0.6892,0,0
1068491750497500000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:07,30-11-2018 08:07,30-11-2018 18:37,0,0,0,0.749,0.251,0.6892,0,0
1068491792700570000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:07,30-11-2018 08:07,30-11-2018 18:37,0,0,0,0.749,0.251,0.6892,0,0
1068491862770680000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:08,30-11-2018 08:08,30-11-2018 18:38,0,0,0,0.749,0.251,0.6892,0,0
1068492014080130000,name that movie ?THINKING FACEWHITE SMILING FACE[?] WHITE RIGHT POINTING BACKHAND INDEXthe answer and all the name that movie quiz : HEAVY BLACK HEART[?]follow...,spacex,30-11-2018 13:08,30-11-2018 08:08,30-11-2018 18:38,-0.020238095,0.367261905,0,0.837,0.163,0.6455,-0.020238095,0.367261905
1068492090529720000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:09,30-11-2018 08:09,30-11-2018 18:39,0,0,0,0.749,0.251,0.6892,0,0
1068492299959750000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:09,30-11-2018 08:09,30-11-2018 18:39,0,0,0,0.749,0.251,0.6892,0,0
1068492487789020000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:10,30-11-2018 08:10,30-11-2018 18:40,0,0,0,0.749,0.251,0.6892,0,0
1068492523486750000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:10,30-11-2018 08:10,30-11-2018 18:40,0,0,0,0.749,0.251,0.6892,0,0
1068492682199210000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:11,30-11-2018 08:11,30-11-2018 18:41,0,0,0,0.749,0.251,0.6892,0,0
1068493031085600000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:12,30-11-2018 08:12,30-11-2018 18:42,0,0,0,0.749,0.251,0.6892,0,0
1068493388234800000,date set for first spacex unmanned capsule to international space station spacex crewdragon demo elonmusk,spacex,30-11-2018 13:14,30-11-2018 08:14,30-11-2018 18:44,0.125,0.166666667,0,1,0,0,0.125,0.166666667
1068493513308870000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:14,30-11-2018 08:14,30-11-2018 18:44,0,0,0,0.749,0.251,0.6892,0,0
1068493839449510000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:15,30-11-2018 08:15,30-11-2018 18:45,0,0,0,0.749,0.251,0.6892,0,0
1068493873112980000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:16,30-11-2018 08:16,30-11-2018 18:46,0,0,0,0.749,0.251,0.6892,0,0
1068494188365390000,next tuesday december th rubber squid day will be the first rubbersquidweek! from // to // share rubb...,spacex,30-11-2018 13:17,30-11-2018 08:17,30-11-2018 18:47,0.15625,0.166666667,0,0.872,0.128,0.3595,0.15625,0.166666667
1068494336776720000,rt : name that movie ?THINKING FACEWHITE SMILING FACE[?] WHITE RIGHT POINTING BACKHAND INDEXthe answer and all the name that movie quiz : HEAVY BLACK HEART[?]follow ...,spacex,30-11-2018 13:17,30-11-2018 08:17,30-11-2018 18:47,-0.020238095,0.367261905,0,0.849,0.151,0.6455,-0.020238095,0.367261905
1068494483258520000,rt : next tuesday december th rubber squid day will be the first rubbersquidweek! from // to // share rubber squid ph...,spacex,30-11-2018 13:18,30-11-2018 08:18,30-11-2018 18:48,0.15625,0.166666667,0,0.889,0.111,0.3595,0.15625,0.166666667
1068494592251580000,spacex helping companies hoping to build a truly global internet of things (iot) by revolutionizing satellite commu...,spacex,30-11-2018 13:18,30-11-2018 08:18,30-11-2018 18:48,0,0,0,0.622,0.378,0.7845,0,0
1068495166091210000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:21,30-11-2018 08:21,30-11-2018 18:51,0,0,0,0.749,0.251,0.6892,0,0
1068495544694310000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:22,30-11-2018 08:22,30-11-2018 18:52,0,0,0,0.749,0.251,0.6892,0,0
1068496113265720000,rt : beyond excited to announce that midwesthyperloop (our team in collaboration with ) wi...,spacex,30-11-2018 13:24,30-11-2018 08:24,30-11-2018 18:54,0.375,0.75,0,0.833,0.167,0.34,0.375,0.75
1068496308326060000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 13:25,30-11-2018 08:25,30-11-2018 18:55,0,0,0,0.749,0.251,0.6892,0,0
1068528178514150000,what role is pr playing in mankind's latest cosmic endeavour landing on the red planet?...,spacex,30-11-2018 15:32,30-11-2018 10:32,30-11-2018 21:02,0.25,0.45,0,0.886,0.114,0.2023,0.25,0.45
1068528754488560000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 15:34,30-11-2018 10:34,30-11-2018 21:04,0,0,0,0.749,0.251,0.6892,0,0
1068528907618600000,tuesday! the spacex falcon rocket will launch its th dragon spacecraft! this is an amazing event which makes ou...,spacex,30-11-2018 15:35,30-11-2018 10:35,30-11-2018 21:05,0.6,0.9,0,0.804,0.196,0.658,0.6,0.9
1068530329500100000,rt : how excited am i for next week's spacex launch of supplies to the iss and return to launch site landing of the falcon bo...,spacex,30-11-2018 15:40,30-11-2018 10:40,30-11-2018 21:10,0.1875,0.375,0,0.906,0.094,0.34,0.1875,0.375
1068531574562590000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 15:45,30-11-2018 10:45,30-11-2018 21:15,0,0,0,0.749,0.251,0.6892,0,0
1068531760370200000,morganstanley says could 'be the year for space ' led by the likes of spacex and blueorigin innovation...,spacex,30-11-2018 15:46,30-11-2018 10:46,30-11-2018 21:16,0,0,0,0.851,0.149,0.4215,0,0
