"1068374240196468736^0^False^'graphicartist for hire lionking babyshower tshirt invitations design  mockup by me :backhand_index_pointing_left:swipeleft tbt…'^2018-11-30^05:20:42^False^False^208^False^False"
"1068376032934191104^0^False^'diagonal split pinch transition preset adobe premierepro videoediting | chung dha via @chungdha'^2018-11-30^05:27:50^False^False^3^False^False"
"1068379595915718656^1^False^'/ getting ready for some :cloud_with_lightning_and_rain: stormy weather :cloud_with_lightning_and_rain: storm stormy weather rain lightning handlettering…'^2018-11-30^05:41:59^False^False^25^False^False"
"1068380392107982848^1^False^'rt @kristineknfong: / getting ready for some :cloud_with_lightning_and_rain: stormy weather :cloud_with_lightning_and_rain: storm stormy weather rain lightning handlettering typography …'^2018-11-30^05:45:09^None^False^2956^False^False"
"1068381528927830016^8^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^05:49:40^None^False^1406^False^False"
"1068382054142885888^8^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^05:51:45^None^False^826^False^False"
"1068383212785844225^0^False^'jitter shake preset adobe premierepro videoediting |'^2018-11-30^05:56:22^None^False^6^False^False"
"1068386027440693248^1^False^'this little and inconspicuous thing will change how we all do things in the near future  wireless nextstep iot…'^2018-11-30^06:07:33^False^False^1003^False^False"
"1068387139258392576^8^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^06:11:58^None^False^23^False^False"
"1068387913992425473^1^False^'rt @gunleik: this little and inconspicuous thing will change how we all do things in the near future  wireless nextstep iot cloud micr…'^2018-11-30^06:15:03^None^False^766^False^False"
"1068388940640657408^0^False^'out here picoftheday canonphotography chicago adobelightroom photography fotografia foto adobe nature…'^2018-11-30^06:19:07^False^False^235^False^False"
"1068433470978957312^9^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^09:16:04^None^False^697^False^False"
"1068434879900237824^0^False^'""once you’ve gone through and narrowed the images down to the very best  click on the photo tab and then delete rej…'^2018-11-30^09:21:40^False^False^178^False^False"
"1068435461943771136^6^False^'rt @com_officer_: a backtothefuture with a cv :smiling_face_with_smiling_eyes:  oldcar s graphicdesign designer graphic graphiste graphicart adobe  illustra…'^2018-11-30^09:23:59^None^False^140^False^False"
"1068437891099983872^8^False^'rt @bjornhurri: topic: old druidess yt clip: art minwarmup war…'^2018-11-30^09:33:38^False^False^2657^False^False"
"1068437917662658560^0^False^'curious to know better the aem core component  their main features  their hidden goodies  their latest updates  an…'^2018-11-30^09:33:44^False^False^1802^False^False"
"1068437958989148160^8^False^'rt @bjornhurri: topic: old druidess yt clip: art minwarmup war…'^2018-11-30^09:33:54^False^False^118^False^False"
"1068440903591841792^733^False^'rt @xppen_uk: :loudspeaker:giveaway:loudspeaker:  “rt f” for a chance to win  more than one winner  prize picked randomly:clapping_hands::clapping_hands::clapping_hands:  first winner announced  when rt…'^2018-11-30^09:45:36^None^False^1188^False^False"
"1068441717408452608^733^False^'rt @xppen_uk: :loudspeaker:giveaway:loudspeaker:  “rt f” for a chance to win  more than one winner  prize picked randomly:clapping_hands::clapping_hands::clapping_hands:  first winner announced  when rt…'^2018-11-30^09:48:50^None^False^143^False^False"
"1068441987395739648^0^False^'adventure clientwork detail digitaldesign userinterface productdisplay visualart digitalart illustration…'^2018-11-30^09:49:55^False^False^9^False^False"
"1068442992497881088^5^False^'rt @adobecareers: looks like our friend yugo is having a hard time figuring out which adobe product team he wants to intern with next summ…'^2018-11-30^09:53:54^None^False^654^False^False"
"1068445660112924673^2^False^'topic: herocard friday yt clip: art…'^2018-11-30^10:04:30^False^False^5281^False^False"
"1068446200259477504^1^False^'rt @gabrielwalt: curious to know better the aem core component  their main features  their hidden goodies  their latest updates  and how t…'^2018-11-30^10:06:39^None^False^33^False^False"
"1068446490673201153^2^False^'rt @bjornhurri: topic: herocard friday yt clip: art minwarmup …'^2018-11-30^10:07:48^False^False^23095^False^False"
"1068446692033421312^1^False^'rt @mvrvindesigns: please share this took forever to make full story on my ig @ marvinpsd @adobestudents moviepostermovie concept adob…'^2018-11-30^10:08:36^None^False^512^False^False"
"1068447432332255232^0^False^'raise it up • type typography dailydraw dailydesign tutorial fridayfeeling adobe illustrator graphicdesign…'^2018-11-30^10:11:33^False^False^471^False^False"
"1068447632236908546^0^False^'take a look! adobe has replaced it's typekit with adobe fonts! typography adobe font design'^2018-11-30^10:12:20^False^False^302^False^False"
"1068447638423523328^2^False^'rt @bjornhurri: topic: herocard friday yt clip: art minwarmup …'^2018-11-30^10:12:22^False^False^21304^False^False"
"1068448038908239872^1^False^'recent styleframe development  brexit brexshit styleframes motiongraphics motiondesigner animation design…'^2018-11-30^10:13:57^False^False^53^False^False"
"1068448196458962944^1^False^'rt @blairharrower: recent styleframe development  brexit brexshit styleframes motiongraphics motiondesigner animation design digar…'^2018-11-30^10:14:35^None^False^20096^False^False"
"1068449765845868545^0^False^'adobe’s smart tags for video can classify objects  scenes  attributes  and actions via…'^2018-11-30^10:20:49^False^False^883^False^False"
"1068450651330404353^0^False^'wall art: ascension adobe adobeillustrator adobephotoshop wallpaper wall walldeco wallart wallframe…'^2018-11-30^10:24:20^False^False^281^False^False"
"1068452259288281088^0^False^'taking pictures on a speeding motorbike  huaweippro adobe lightroommobile blackandwhite @ san gabriel  la un…'^2018-11-30^10:30:44^False^False^495^False^False"
"1068452946315235328^0^False^'adobe deserve it :smiling_face_with_horns:'^2018-11-30^10:33:27^False^False^338^False^False"
"1068453407579693058^12^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^10:35:17^None^False^19987^False^False"
"1068454477982777345^0^False^'rt @olabodegenius: wall art: ascension adobe adobeillustrator adobephotoshop wallpaper wall walldeco wallart…'^2018-11-30^10:39:33^False^False^3414^False^False"
"1068456502363598848^3^False^'rt @bjornhurri: topic: herocard friday yt clip: art minwarmup …'^2018-11-30^10:47:35^False^False^270^False^False"
"1068458404274937857^6^False^'rt @adobecareers: looks like our friend yugo is having a hard time figuring out which adobe product team he wants to intern with next summ…'^2018-11-30^10:55:09^None^False^127^False^False"
"1068458673922433025^1^False^'rt @krishari: vector design fa thalapathy :beating_heart:  own design!  for more edits - follow @krishari   sarkar thalapathy thalapathy…'^2018-11-30^10:56:13^None^False^6^False^False"
"1068458824846184453^13^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^10:56:49^None^False^106^False^False"
"1068459668425592832^1^False^'ai-based tools are invigorating artists by providing a platform to visualise every idea that inspires them  here…'^2018-11-30^11:00:10^False^False^226^False^False"
"1068459874554662914^0^False^'consistent down to the last dot shot on pixel  xl happy friday folks      friday uae abudhabi emarati…'^2018-11-30^11:00:59^False^False^232^False^False"
"1068460388885323777^0^False^'i've enabled the mercury playback engine (cuda) but the gpu stopped after  seconds any solutions? @adobepremiere…'^2018-11-30^11:03:02^False^False^4^False^False"
"1068461783340466177^1^False^'rt @techndiscussion: ai-based tools are invigorating artists by providing a platform to visualise every idea that inspires them  here are…'^2018-11-30^11:08:34^None^False^254^False^False"
"1068462217727594496^0^False^'learn how to create x document in various adobe applications adobe support '^2018-11-30^11:10:18^False^False^84^False^False"
"1068462414398672896^48^False^'rt @xppen_uk: :loudspeaker:giveaway:loudspeaker:   :clapping_hands::clapping_hands:the first winner@toffeepiglet   so rt reached !! the prize; gs congrats!  rt f next winner announced…'^2018-11-30^11:11:05^None^False^7^False^False"
"1068464259099738112^0^False^'you should look at the cost of bad design” — dr ralf speth “designers shooting for usable is like a chef shooting…'^2018-11-30^11:18:25^None^False^72^False^False"
"1068464483050246146^13^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^11:19:18^None^False^1009^False^False"
"1068481469218205696^1^False^'rt @saadrbds: *service* graphic design starts from £/  graphicdesign design art illustration vector vectorart artist creative il…'^2018-11-30^12:26:48^None^False^426^False^False"
"1068482657246474240^12^False^'rt @uhdtrader: $fusz- $- million/year in revs easily doable w/ @soundconcepts acquisition   users added since aug ! does not…'^2018-11-30^12:31:31^None^False^72^False^False"
"1068482678402367488^0^False^'new ukramedia video course for only $!!! (limited time only)  watch=&gt;  adobe…'^2018-11-30^12:31:36^False^False^367^False^False"
"1068482684995784716^0^False^'new ukramedia video course for only $!!! (limited time only)  watch=&gt;  adobe…'^2018-11-30^12:31:38^False^False^6722^False^False"
"1068483299037904898^0^False^'absolutely enjoyed spending a day with tcs learning services team at adobe noida office adobeelearning…'^2018-11-30^12:34:04^False^False^4466^False^False"
"1068484079610462208^0^False^'tilly :dog: pmgridchallenge photography goldenretriever apple iphonexs lightroom portrait colour gold theme…'^2018-11-30^12:37:10^False^False^141^False^False"
"1068484610101792768^0^False^'rt @olabodegenius: wall poster: rampage adobe adobeillustrator adobephotoshop wallpaper wall wallart gold…'^2018-11-30^12:39:17^False^False^3416^False^False"
"1068485286928228352^15^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^12:41:58^None^False^3333^False^False"
"1068485652369551360^15^False^'rt @stuartjash: these “adobe flash” installers are actually looking slightly more legitimate i can see why people would click on this  ge…'^2018-11-30^12:43:25^None^False^159^False^False"
"1068486148828397569^5^False^'rt @bjornhurri: topic: herocard friday yt clip: art minwarmup …'^2018-11-30^12:45:24^False^False^545^False^False"
"1068486262099607554^5^False^'rt @bjornhurri: topic: herocard friday yt clip: art minwarmup …'^2018-11-30^12:45:51^False^False^129^False^False"
"1068488206813941761^737^False^'rt @xppen_uk: :loudspeaker:giveaway:loudspeaker:  “rt f” for a chance to win  more than one winner  prize picked randomly:clapping_hands::clapping_hands::clapping_hands:  first winner announced  when rt…'^2018-11-30^12:53:34^None^False^451^False^False"
"1068489152725843968^0^False^'i'd say it's worth it  huaweippro adobe lightroommobile blackandwhite @ tangadan falls  san gabriel  la union'^2018-11-30^12:57:20^False^False^495^False^False"
"1068489828449304577^0^False^'the program every security researcher despises has a new reason for the hatred yet another critical flaw has been…'^2018-11-30^13:00:01^False^False^2820^False^False"
"1068490095135731712^0^False^'happy friday folks! | info@julmonempirecoza | call:     friday event…'^2018-11-30^13:01:04^False^False^480^False^False"
"1068490375814250499^1^False^'live q&amp;a  shooting with a phone camera restoring old photos  watch=&gt;  adobe tutorial…'^2018-11-30^13:02:11^False^False^367^False^False"
"1068490382088974337^1^False^'live q&amp;a  shooting with a phone camera restoring old photos  watch=&gt;  adobe tutorial…'^2018-11-30^13:02:13^False^False^6723^False^False"
"1068492407707074560^0^False^'this big sale is approaching!but even more exciting is possibly winning redgiants entire library of plugins…'^2018-11-30^13:10:16^False^False^1149^False^False"
"1068493474129821696^4^False^'rt @gabrielwalt: curious to know better the aem core component  their main features  their hidden goodies  their latest updates  and how t…'^2018-11-30^13:14:30^None^False^261^False^False"
"1068494601588301825^1^False^'rt @webartfreebies: live q&amp;a  shooting with a phone camera restoring old photos  watch=&gt;  adobe tutorial photo…'^2018-11-30^13:18:59^False^False^358^False^False"
"1068494604373278720^1^False^'rt @techtutorial: live q&amp;a  shooting with a phone camera restoring old photos  watch=&gt;  adobe tutorial phot…'^2018-11-30^13:19:00^False^False^358^False^False"
"1068495706460209154^0^False^'–paul rand jeff hilnbrand  product at creative market ux design art adobe'^2018-11-30^13:23:22^None^False^72^False^False"
