TSLA,Tesla Inc ,05272018,SEC chairman says Tesla settlement in 'best interests' of shareholders ,WASHINGTON U.S. Securities and Exchange Commission chairman Jay Clayton said in a statement on Saturday that the agency's settlement with carmaker Tesla was in the best interests of the U.S. markets and company shareholders.,topStory
TSLA,Tesla Inc ,05272018,SEC chairman says Tesla settlement in 'best interests' of shareholders ,WASHINGTON  Sept 29 U.S. Securities and Exchange Commission chairman Jay Clayton said in a statement on Saturday that the agency's settlement with carmaker Tesla was in the best interests of the U.S. markets and company shareholders.,normal
TSLA,Tesla Inc ,05272018,Tesla  Musk pay $40 mln to settle Tweet charges  Musk to resign as chairman ,WASHINGTON  Sept 29 The U.S. Securities and Exchange Commission said on Saturday it had reached a settlement with car-maker Tesla and Chief Executive Elon Musk over his Aug. 7 tweets about taking the company private.,normal
