TSLA,Tesla Inc ,12312017,Tesla delays  tax credit concerns spur sales of Chevy Bolts ,SAN FRANCISCO Some potential buyers of Tesla's long-delayed Model 3 sedan are concerned that they will miss out on big federal tax breaks and are looking for alternatives  including General Motors Co's  Chevrolet Bolt  according to postings by would-be Tesla buyers on websites and interviews with GM dealers. | Video ,topStory
QCOM,QUALCOMM Incorporated,12312017,Proxy advisory firm ISS says Qualcomm should negotiate sale to Broadcom ,U.S. semiconductor company Qualcomm Inc should try to negotiate a sale to Broadcom Ltd following the latter's sweetened $121 billion offer  proxy advisory firm Institutional Shareholder Services Inc (ISS) said.,topStory
QCOM,QUALCOMM Incorporated,12312017,Proxy advisory firm ISS says Qualcomm should negotiate sale to Broadcom ,Feb 17 U.S. semiconductor company Qualcomm Inc should try to negotiate a sale to Broadcom Ltd following the latter's sweetened $121 billion offer  proxy advisory firm Institutional Shareholder Services Inc (ISS) said.,normal
