TSLA,Tesla Inc ,05272018,Tesla lagging on Model 3 production  workers say ,SAN FRANCISCO Tesla Inc is not producing enough Model 3s per shift to reach the 5 000 per week target that Chief Executive Officer Elon Musk said it would reach by Saturday  three line workers at the company's Fremont  California  assembly plant told Reuters this week. | Video ,topStory
QCOM,QUALCOMM Incorporated,05272018,Qualcomm extends NXP tender offer yet again ,U.S. chipmaker Qualcomm Inc  on Friday extended the tender offer for its proposed $44 billion deal to buy NXP Semiconductors NV  for the 29th time as it awaits clearance from the Chinese government.,topStory
QCOM,QUALCOMM Incorporated,05272018,Qualcomm extends NXP tender offer yet again ,June 29 U.S. chipmaker Qualcomm Inc on Friday extended the tender offer for its proposed $44 billion deal to buy NXP Semiconductors NV for the 29th time as it awaits clearance from the Chinese government.,normal
