TSLA,Tesla Inc ,05272018,Tesla to bring most collision repairs in-house -Musk ,Sept 16 Tesla Inc is bringing most collision repairs in-house  Chief Executive Officer Elon Musk said in a tweet on Sunday  saying owners of the vehicles were experiencing excessive wait times at body shops.,topStory
TSLA,Tesla Inc ,05272018,Fire contained at Tesla Gigafactory in Nevada ,NEW YORK A fire broke out at Tesla Inc's  Gigafactory in Nevada's Tahoe-Reno Industrial Center late on Saturday but was contained by early Sunday and production had resumed  emergency officials and the company said.,normal
TSLA,Tesla Inc ,05272018,Fire contained at Tesla Gigafactory in Nevada ,NEW YORK  Sept 16 A fire broke out at Tesla Inc's Gigafactory in Nevada's Tahoe-Reno Industrial Center late on Saturday but was contained by early Sunday and production had resumed  emergency officials and the company said.,normal
