MSFT,Microsoft Corporation,05272018,Judge says no 'glue' to hold together Microsoft sex bias claims ,A federal judge in Seattle has denied class certification in a lawsuit claiming that Microsoft Corp discriminated against more than 8 600 women in pay and promotions  saying the tech giant largely left employment decisions to individual managers.,topStory
TSLA,Tesla Inc ,05272018,Norway denies holding up Tesla move to improve service ,OSLO Norway has rejected a suggestion it is holding up Tesla's  efforts to improve service in its third-biggest market  saying the electric carmaker has not yet applied to use the mobile service vans it says it needs to solve its problems.,topStory
TSLA,Tesla Inc ,05272018,Norway denies holding up Tesla move to improve service ,OSLO  July 9 Norway has rejected a suggestion it is holding up Tesla's efforts to improve service in its third-biggest market  saying the electric carmaker has not yet applied to use the mobile service vans it says it needs to solve its problems.,normal
