MSFT,Microsoft Corporation,12312017,Insight Public Sector wins $653 mln U.S. defense contract -Pentagon ,WASHINGTON  May 4 Insight Public Sector Inc  a subsidiary of Insight Enterprises Inc  is being awarded a $653 million firm-fixed-price blanket purchase agreement to supply Microsoft Inc software  services and cloud offerings to the U.S. Navy  the Pentagon said on Friday.,normal
TSLA,Tesla Inc ,12312017,Factbox: Musk seeks to soothe Wall Street nerves after snub ,Tesla Inc  Chief Executive Officer Elon Musk said on Friday it was "foolish" of him to snub Wall Street analysts on a post-earnings conference call on Wednesday.,topStory
TSLA,Tesla Inc ,12312017,Tesla shares  bonds drop as CEO Musk bites hand of Wall Street ,Tesla Inc  chief Elon Musk's refusal to answer "boring" Wall Street questions about finances sent the electric vehicle maker's shares down as much as 7 percent on Thursday  jarring investors and raising concerns about its ability to raise money in the future. | Video ,normal
TSLA,Tesla Inc ,12312017,UPDATE 4-Tesla shares  bonds drop as CEO Musk bites hand of Wall Street ,May 3 Tesla Inc chief Elon Musk's refusal to answer "boring" Wall Street questions about finances sent the electric vehicle maker's shares down as much as 7 percent on Thursday  jarring investors and raising concerns about its ability to raise money in the future.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm to depose Apple services chief Eddy Cue ,Qualcomm Inc can depose Apple Inc's services chief Eddy Cue in addition to Chief Executive Tim Cook  a magistrate judge in the U.S. District Court for the Southern District of California ruled on Friday  part of the chipmaker's effort to determine whether Apple worked with Samsung to focus regulatory scrutiny on Qualcomm.,topStory
QCOM,QUALCOMM Incorporated,12312017,Qualcomm to depose Apple services chief Eddy Cue ,May 4 Qualcomm Inc can depose Apple Inc's services chief Eddy Cue in addition to Chief Executive Tim Cook  a magistrate judge in the U.S. District Court for the Southern District of California ruled on Friday  part of the chipmaker's effort to determine whether Apple worked with Samsung to focus regulatory scrutiny on Qualcomm.,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Datang Telecom's Smartphone Chip JV With Qualcomm (China) Gets Anti-Monopoly Regulator's Approval ,* SAYS ITS SMARTPHONE CHIP JV WITH QUALCOMM (CHINA) GETS GREEN LIGHT FROM CHINA'S ANTI-MONOPOLY REGULATOR,normal
