TSLA,Tesla Inc ,05272018,Tesla is making its own car carriers ,Tesla Inc  is building its own car carriers  as the electric carmaker faces vehicle distribution problems.,topStory
INTC,Intel Corporation,05272018,Qualcomm accuses Apple of stealing its secrets to help Intel ,Qualcomm Inc on Tuesday accused Apple Inc of stealing its chip-making secrets and giving them to rival Intel Corp  paving the way for Apple to switch to Intel's improved semiconductors  which may have cost Qualcomm billions of dollars in lost sales.,topStory
INTC,Intel Corporation,05272018,UPDATE 3-Qualcomm accuses Apple of stealing its secrets to help Intel ,Sept 25 Qualcomm Inc on Tuesday accused Apple Inc of stealing its chip-making secrets and giving them to rival Intel Corp  paving the way for Apple to switch to Intel's improved semiconductors  which may have cost Qualcomm billions of dollars in lost sales.,normal
INTC,Intel Corporation,05272018,Qualcomm accuses Apple of stealing its secrets to help Intel ,Sept 25 Qualcomm Inc on Tuesday alleged that Apple Inc stole its trade secrets and gave them to Intel Corp with the goal of improving Intel's chips so Apple could replace Qualcomm's chips  the latest move in a drawn-out legal dispute.,normal
QCOM,QUALCOMM Incorporated,05272018,Qualcomm accuses Apple of stealing its secrets to help Intel ,Qualcomm Inc on Tuesday accused Apple Inc of stealing its chip-making secrets and giving them to rival Intel Corp  paving the way for Apple to switch to Intel's improved semiconductors  which may have cost Qualcomm billions of dollars in lost sales.,topStory
QCOM,QUALCOMM Incorporated,05272018,UPDATE 3-Qualcomm accuses Apple of stealing its secrets to help Intel ,Sept 25 Qualcomm Inc on Tuesday accused Apple Inc of stealing its chip-making secrets and giving them to rival Intel Corp  paving the way for Apple to switch to Intel's improved semiconductors  which may have cost Qualcomm billions of dollars in lost sales.,normal
QCOM,QUALCOMM Incorporated,05272018,Qualcomm accuses Apple of stealing its secrets to help Intel ,Sept 25 Qualcomm Inc on Tuesday alleged that Apple Inc stole its trade secrets and gave them to Intel Corp with the goal of improving Intel's chips so Apple could replace Qualcomm's chips  the latest move in a drawn-out legal dispute.,normal
