MSFT,Microsoft Corporation,12312017,BRIEF-Microsoft Adds 315 Megawatts Of New Solar Power In Virginia ,* MICROSOFT ADDS 315 MEGAWATTS OF NEW SOLAR POWER IN VIRGINIA IN LARGEST CORPORATE SOLAR AGREEMENT IN THE UNITED STATES Source text for Eikon: Further company coverage:,topStory
TSLA,Tesla Inc ,12312017,World's top wealth fund says opposed Musk's $2.6 billion pay deal ,OSLO The world's largest sovereign wealth fund opposed Elon Musk's potential $2.6 billion payout from electric carmaker Tesla   the fund said on Thursday.,topStory
TSLA,Tesla Inc ,12312017,Tesla shareholders approve CEO Musk's $2.6 billion compensation plan ,SAN FRANCISCO/BOSTON Shareholders of electric car company Tesla Inc approved a compensation package potentially worth $2.6 billion for Chief Executive Officer Elon Musk on Wednesday  though by a lower margin than U.S. CEOs typically receive on pay votes.,normal
TSLA,Tesla Inc ,12312017,UPDATE 1-World's top wealth fund says opposed Musk's $2.6 bln pay deal ,OSLO  March 22 The world's largest sovereign wealth fund opposed Elon Musk's potential $2.6 billion payout from electric carmaker Tesla  the fund said on Thursday.,normal
TSLA,Tesla Inc ,12312017,Norway's wealth fund opposed Tesla chief's stock option plan ,OSLO  March 22 Norway's $1 trillion sovereign wealth fund  the world's largest  opposed Tesla Inc Chief Executive Elon Musk's compensation package in Wednesday's shareholder vote  the fund said on its website.,normal
