TSLA,Tesla Inc ,05272018,Tesla's SEC deal provides ammunition for U.S. probe  investor lawsuits ,Sept 30 Tesla Inc's settlement with U.S. regulators will help soothe investors calling for more oversight of Chief Executive Elon Musk  experts said  even as it gives ammunition to short-sellers pursing separate cases and to a probe by the Justice Department.,topStory
TSLA,Tesla Inc ,05272018,Musk to resign as Tesla chairman  remain as CEO in SEC settlement ,WASHINGTON/SAN FRANCISCO Tesla Inc and Elon Musk have agreed to pay $20 million each to financial regulators and the billionaire will step down as the company's chairman but remain as chief executive  under a settlement that caps a tumultuous two months for the carmaker. | Video ,normal
TSLA,Tesla Inc ,05272018,UPDATE 3-Musk to resign as Tesla chairman  remain as CEO in SEC settlement ,WASHINGTON/SAN FRANCISCO  Sept 29 Tesla Inc and Elon Musk have agreed to pay $20 million each to financial regulators and the billionaire will step down as the company's chairman but remain as chief executive  under a settlement that caps a tumultuous two months for the carmaker.,normal
