TSLA,Tesla Inc ,05272018,UPDATE 5-Tesla CEO Musk drops pursuit of $72 bln take-private deal ,* Musk: Shareholders believe Tesla better off as public company,topStory
TSLA,Tesla Inc ,05272018,Breakingviews - Musk flip-flop makes job harder to do - and keep ,NEW YORK (Reuters Breakingviews) - So Tesla isn't going private after all. Chief Executive Elon Musk has pulled the plug on taking the $55 billion electric-car maker private  the company said late on Friday. The abysmal handling of the half-baked idea caps Musk's long record of overpromising and underdelivering.,normal
TSLA,Tesla Inc ,05272018,Tesla to remain public  board says  after meeting with Musk ,SAN FRANCISCO  Aug 24 The board of Tesla Inc said on Friday the company would remain public  following a tumultuous two weeks for the carmaker after its chief executive announced he was considering a deal to go private.,normal
