TSLA,Tesla Inc ,05272018,WRAPUP 5-Tesla shares reel as execs quit and CEO smokes pot on webcast ,Sept 7 Tesla Inc Chief Executive Elon Musk was filmed smoking marijuana and wielding a sword on a webcast  just hours before the automaker said its recently-appointed accounting chief would leave  the latest in a string of unusual behavior and executive departures that have stunned investors.,topStory
TSLA,Tesla Inc ,05272018,Factbox: Tesla executive departures since 2016 ,Electric carmaker Tesla Inc has seen a flurry of senior executive exits in recent months.,normal
TSLA,Tesla Inc ,05272018,FACTBOX-Tesla executive departures since 2016 ,Sept 7 Electric carmaker Tesla Inc has seen a flurry of senior executive exits in recent months.,normal
TSLA,Tesla Inc ,05272018,UPDATE 2-Tesla's Musk smokes marijuana on comedy podcast ,Sept 7 Tesla Inc's Chief Exeuctive Officer Elon Musk provoked another Twitter storm on Friday after briefly smoking marijuana on a live web show with comedian Joe Rogan.,normal
TSLA,Tesla Inc ,05272018,Tesla chief accountant resigns one month after joining ,Sept 7 Tesla Inc Chief Accounting Officer Dave Morton resigned on Tuesday  citing discomfort with the level of public attention in the company and pace of work just a month after he joined the electric car maker.,normal
TSLA,Tesla Inc ,05272018,Tesla's Musk smokes marijuana on comedy podcast ,Tesla's Elon Musk provoked another twitter storm on Friday by briefly smoking marijuana on a live web show with comedian Joe Rogan.,normal
TSLA,Tesla Inc ,05272018,Tesla's Musk smokes marijuana on comedy podcast ,Sept 7 Tesla's Elon Musk provoked another twitter storm on Friday by briefly smoking marijuana on a live web show with comedian Joe Rogan.,normal
NVDA,NVIDIA Corporation,05272018,FACTBOX-Tesla executive departures since 2016 ,Sept 7 Electric carmaker Tesla Inc has seen a flurry of senior executive exits in recent months.,normal
