TSLA,Tesla Inc ,12312017,Tesla to recall 8 898 vehicles in China from June 28: China quality watchdog ,BEIJING China's quality watchdog said on Monday that Tesla Inc  will recall a total of 8 898 Model S vehicles in the country starting on June 28  as part of a broader  global recall announced last month.,topStory
TSLA,Tesla Inc ,12312017,UPDATE 1-Tesla to recall 8 898 vehicles in China from June 28 -China quality watchdog ,BEIJING  April 9 China's quality watchdog said on Monday that Tesla Inc will recall a total of 8 898 Model S vehicles in the country starting on June 28  as part of a broader  global recall announced last month.,normal
TSLA,Tesla Inc ,12312017,Tesla to recall 8 898 vehicles in China from June 28 - China quality watchdog ,BEIJING  April 9 China's quality watchdog said on Monday that Tesla Inc will recall a total of 8 898 Model S vehicles in the country from June 28.,normal
QCOM,QUALCOMM Incorporated,12312017,UPDATE 2-China's SenseTime valued at $4.5 bln after Alibaba-led funding -sources ,* Funding comes as government targets AI tech top spot (Recasts),normal
QCOM,QUALCOMM Incorporated,12312017,China's SenseTime closes $600 mln funding led by Alibaba ,HONG KONG  April 9 Chinese facial recognition firm SenseTime Group Ltd said it has closed a $600 million funding round led by Alibaba Group Holding Ltd  extending the billion-dollar valuation of the artificial intelligence (AI) startup.,normal
