TSLA,Tesla Inc ,05272018,Tesla explores building Gigafactory in Europe: Wall Street Journal ,Tesla Inc  is in talks with authorities in Germany and the Netherlands to build its first major European factory  the Wall Street Journal reported on Monday  citing officials involved in the matter.,topStory
TSLA,Tesla Inc ,05272018,UPDATE 1-Tesla explores building Gigafactory in Europe -WSJ ,July 30 Tesla Inc is in talks with authorities in Germany and the Netherlands to build its first major European factory  the Wall Street Journal reported on Monday  citing officials involved in the matter.,normal
TSLA,Tesla Inc ,05272018,Tesla explores building Gigafactory in Europe  - WSJ ,July 30 Tesla Inc is in talks with authorities in Germany and the Netherlands to build its first major European factory  the Wall Street Journal reported on Monday  citing officials involved in the talks.,normal
