TSLA,Tesla Inc ,12312017,Global stocks sell-off sends FTSE 100 to 13-month low ,LONDON  Feb 6 Britain's major share index sank to a 13-month low on Tuesday as a violent global sell-off in stock markets and spike in volatility shook investors.,normal
QCOM,QUALCOMM Incorporated,12312017,Broadcom unveils $121 billion 'best and final' offer for Qualcomm ,Broadcom Ltd made a $121 billion "best and final offer" on Monday to acquire Qualcomm Inc  ratcheting up pressure on its U.S. semiconductor peer to engage in talks on what would be the biggest ever technology acquisition.,topStory
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Universal Scientific Industrial's Unit To Set Up JV In Brazil With Qualcomm Inc's Unit ,Feb 6 Universal Scientific Industrial Shanghai Co Ltd:,normal
