TSLA,Tesla Inc ,05272018,As Tesla shares fall  Amazon takes over as most shorted U.S. stock ,NEW YORK  Aug 30 With Tesla Inc's shares briefly dipping below the $300 level on Thursday  the electric carmaker ceded its seat as the most shorted U.S. stock to Amazon.com Inc  according to data from financial technology and analytics firm S3 Partners.,topStory
TSLA,Tesla Inc ,05272018,Drones and stakeouts: how Tesla 'haters' put pressure on CEO Musk ,SAN FRANCISCO/WASHINGTON An online army of skeptics and amateur sleuths that has spent years promoting bets against Tesla Inc senses an opportunity to renew pressure on the electric carmaker after the failure of Chief Executive Elon Musk’s plan to take it private. | Video ,normal
TSLA,Tesla Inc ,05272018,RPT-FOCUS-Inside Albemarle's quest to reinvent the lithium market ,Aug 30 As global demand for lithium hits overdrive  Albemarle Corp is investing millions of dollars to engineer specialized types of the light metal for electric car batteries  part of a strategy to remain the niche market's top producer.,normal
TSLA,Tesla Inc ,05272018,Inside Albemarle's quest to reinvent the lithium market ,As global demand for lithium hits overdrive  Albemarle Corp is investing millions of dollars to engineer specialized types of the light metal for electric car batteries  part of a strategy to remain the niche market's top producer.,normal
TSLA,Tesla Inc ,05272018,FOCUS-Inside Albemarle's quest to reinvent the lithium market ,Aug 30 As global demand for lithium hits overdrive  Albemarle Corp is investing millions of dollars to engineer specialized types of the light metal for electric car batteries  part of a strategy to remain the niche market's top producer.,normal
