TSLA,Tesla Inc ,12312017,Tesla executive Schwall joins Alphabet's Waymo ,Alphabet Inc's self-driving unit  Waymo  said on Sunday that Matthew Schwall had joined the company from Tesla Inc where he was the electric carmaker's main technical contact with U.S. safety investigators.,topStory
TSLA,Tesla Inc ,12312017,UPDATE 1-Tesla executive Schwall joins Alphabet's Waymo ,May 13 Alphabet Inc's self-driving unit  Waymo  said on Sunday that Matthew Schwall had joined the company from Tesla Inc where he was the electric carmaker's main technical contact with U.S. safety investigators.,normal
TSLA,Tesla Inc ,12312017,Tesla executive Schwall leaves for Alphabet's Waymo - WSJ ,May 13 Tesla Inc's main technical contact with U.S. safety investigators  Matthew Schwall  has left the electric carmaker for Alphabet Inc's self-driving unit Waymo  the Wall Street Journal reported on Saturday  citing people familiar the decision.,normal
