TSLA,Tesla Inc ,06282016,SolarCity raises $305 million in deal advised by Soros' firm ,Solar panel installer SolarCity Corp   which is being bought by Tesla Motors Inc   on Monday said it had raised $305 million by selling the future cash flows for a portfolio of solar projects to a fund advised by billionaire investor George Soros' hedge fund.,topStory
TSLA,Tesla Inc ,06282016,UPDATE 2-SolarCity raises $305 mln in deal advised by Soros' firm ,Sept 12 Solar panel installer SolarCity Corp   which is being bought by Tesla Motors Inc  on Monday said it had raised $305 million by selling the future cash flows for a portfolio of solar projects to a fund advised by billionaire investor George Soros' hedge fund.,normal
TSLA,Tesla Inc ,06282016,SolarCity raises $305 mln to fund solar projects ,Sept 12 Solar panel installer SolarCity Corp   which is being bought by Tesla Motors Inc for $2.6 billion  said on Monday it had raised $305 million to fund its projects.,normal
