MSFT,Microsoft Corporation,06282016,BRIEF-S.A's Competition Commission approves Microsoft's LinkedIn deal ,* Approved  without conditions  intermediate merger whereby Microsoft intends to acquire LinkedIn  Further company coverage:,topStory
NVDA,NVIDIA Corporation,06282016,BRIEF-Nvidia posts Q3 earnings per share $0.94 ,* Nvidia announces financial results for third quarter fiscal 2017,topStory
NVDA,NVIDIA Corporation,06282016,Nvidia's quarterly revenue jumps 53.6 pct ,Nov 10 Nvidia Corp reported a 53.6 percent jump in quarterly revenue  helped by strong demand for the company's graphics processing chips used in personal computers and data centers.,normal
