TSLA,Tesla Inc ,12312015,Behind Tesla carnage  signs of support for Musk's SolarCity deal ,Some of Tesla Motor Inc's  biggest investors have signaled support for CEO Elon Musk's plan to buy solar power company SolarCity Corp   although the electric car maker's stock cratered on Wednesday  lopping more than the $2.8 billion value of the proposed deal off Tesla's market capitalization. | Video ,topStory
TSLA,Tesla Inc ,12312015,PRESS DIGEST - Wall Street Journal - June 23 ,June 23 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
TSLA,Tesla Inc ,12312015,WRAPUP 3-Behind Tesla carnage  signs of support for Musk's SolarCity deal ,June 22 Some of Tesla Motor Inc's  biggest investors have signaled support for CEO Elon Musk's plan to buy solar power company SolarCity Corp  although the electric car maker's stock cratered on Wednesday  lopping more than the $2.8 billion value of the proposed deal off Tesla's market capitalization.,normal
