TSLA,Tesla Inc ,12312015,Samsung SDI making progress in talks with Tesla to supply batteries: source ,SEOUL Samsung SDI is making progress in talks with Tesla Motors to supply batteries for the U.S. automaker's Model 3 electric car as well as its energy storage products  a source with direct knowledge of the matter told Reuters.,topStory
TSLA,Tesla Inc ,12312015,UPDATE 1-Samsung SDI making progress in talks with Tesla to supply batteries -source ,* SDI to be supplier if Tesla sales beat expectations -source   (Adds share reaction and comments from source),normal
TSLA,Tesla Inc ,12312015,Samsung SDI making progress in talks with Tesla to supply batteries -source ,SEOUL  June 7 Samsung SDI is making progress in talks with Tesla Motors to supply batteries for the U.S. automaker's Model 3 electric car as well as its energy storage products  a source with direct knowledge of the matter told Reuters.,normal
