TSLA,Tesla Inc ,12312015,Tesla investor group wants more independent board  cites Musk ties ,SAN FRANCISCO  June 28 An investor group called on Tesla Motors Corp on Tuesday to add two independent directors to its board and separate the roles of chairman and chief executive as it highlighted founder and CEO Elon Musk's dominance of the board in the wake of Tesla's proposed bid for SolarCity.,topStory
TSLA,Tesla Inc ,12312015,Short sellers ramp up bets against Tesla  SolarCity shares: S3 Partners ,NEW YORK Bets against both Tesla Motors Inc and SolarCity Corp shares have risen after Elon Musk announced a proposed merger last week  but any further bets will be small as both stocks have few borrowable shares  said Ihor Dusaniwsky  head of research at financial analytics firm S3 Partners on Tuesday.,normal
TSLA,Tesla Inc ,12312015,Short sellers ramp up bets against Tesla  SolarCity shares -S3 Partners ,NEW YORK  June 28 Bets against both Tesla Motors Inc and SolarCity Corp shares have risen after Elon Musk announced a proposed merger last week  but any further bets will be small as both stocks have few borrowable shares  said Ihor Dusaniwsky  head of research at financial analytics firm S3 Partners on Tuesday.,normal
