TSLA,Tesla Inc ,12312015,Shanghai emerging frontrunner for Tesla's China production: Bloomberg ,Tesla Motors Inc  is eyeing Shanghai for its China production base in an investment that could be worth about $9 billion  Bloomberg reported.,topStory
TSLA,Tesla Inc ,12312015,Shanghai emerging frontrunner for Tesla's China production -Bbg ,June 20 Tesla Motors Inc is eyeing Shanghai for its China production base in an investment that could be worth about $9 billion  Bloomberg reported.,normal
TSLA,Tesla Inc ,12312015,BRIEF-Panasonic to begin mass-producing components for electric-car batteries ahead of schedule - Nikkei ,* Panasonic will begin mass-producing components for electric-car batteries ahead of schedule at an American factory it is building with Tesla - Nikkei,normal
