MSFT,Microsoft Corporation,12312015,BRIEF-Finland's Kone picks CFO from Microsoft's phones unit ,* says appoints Ilkka Hara as CFO and member of the executive board,topStory
TSLA,Tesla Inc ,12312015,South Korea's Mando in talks to supply parts for Tesla's Model 3: source ,SEOUL Mando Corp  is in talks with Tesla Motors  to supply parts for its Model 3 car  an industry source said  as it seeks to join other South Korean firms supplying components for Tesla's more affordable electric cars.,topStory
TSLA,Tesla Inc ,12312015,S.Korea's Mando in talks to supply parts for Tesla's Model 3 - source ,SEOUL  May 24 Mando Corp is in talks with Tesla Motors to supply parts for its Model 3 car  a person with direct knowledge of the matter said  seeking to join other South Korean firms supplying components for Tesla's more affordable electric cars.,normal
