MSFT,Microsoft Corporation,12312015,BRIEF-Bsquare renews distribution for Microsoft Windows IOT products ,* Bsquare renews distribution agreement for Microsoft Windows IOT products,topStory
MSFT,Microsoft Corporation,12312015,Apple's nine-year iPhone juggernaut stops with first sales decline ,Apple Inc  on Tuesday posted its first-ever decline in iPhone sales and its first revenue drop in 13 years as the company credited with inventing the smartphone struggles with an increasingly saturated market. | Video ,normal
MSFT,Microsoft Corporation,12312015,UPDATE 4-Apple's 9-year iPhone juggernaut stops with first sales decline ,April 26 Apple Inc on Tuesday posted its first-ever decline in iPhone sales and its first revenue drop in 13 years as the company credited with inventing the smartphone struggles with an increasingly saturated market.,normal
