TSLA,Tesla Inc ,06282016,BRIEF- Tesla CEO Musk says model 3 could generate $20 bln in revenue per year ,* Ceo musk says new products in strategic plan could cost "tens of billions" over time,topStory
TSLA,Tesla Inc ,06282016,Fiat Chrysler revamps U.S. sales reporting amid federal probes ,Fiat Chrysler Automobiles   said on Tuesday it had revised more than five years of monthly U.S. vehicle sales figures to reflect a new reporting method  amid an investigation by federal authorities into claims of inflated sales figures.,normal
TSLA,Tesla Inc ,06282016,UPDATE 3-Fiat Chrysler revamps U.S. sales reporting amid federal probes ,July 26 Fiat Chrysler Automobiles   said on Tuesday it had revised more than five years of monthly U.S. vehicle sales figures to reflect a new reporting method  amid an investigation by federal authorities into claims of inflated sales figures.,normal
TSLA,Tesla Inc ,06282016,U.S. report says Tesla in fatal Autopilot crash was speeding ,WASHINGTON A driver killed in the May 7 crash of a Tesla Motors Inc  car while using Autopilot driving-assist software was exceeding the speed limit  U.S. highway safety investigators said on Tuesday in a preliminary report that did not state a probable cause.,normal
TSLA,Tesla Inc ,06282016,UPDATE 2-U.S. report says Tesla in fatal Autopilot crash was speeding ,WASHINGTON  July 26 A driver killed in the May 7 crash of a Tesla Motors Inc car while using Autopilot driving-assist software was exceeding the speed limit  U.S. highway safety investigators said on Tuesday in a preliminary report that did not state a probable cause.,normal
TSLA,Tesla Inc ,06282016,Mobileye split with Tesla spurs debate on self-driving tech ,BENGALURU/DETROIT A rift between Tesla Motors Inc  and key supplier Mobileye NV  sent down shares of the Israeli maker of chips for the electric vehicle maker's semi-automated Autopilot system and fanned debate on self-driving vehicle technology.,normal
TSLA,Tesla Inc ,06282016,UPDATE 4-Mobileye split with Tesla spurs debate on self-driving tech ,BENGALURU/DETROIT  July 26 A rift between Tesla Motors Inc and key supplier Mobileye NV sent down shares of the Israeli maker of chips for the electric vehicle maker's semi-automated Autopilot system and fanned debate on self-driving vehicle technology.,normal
TSLA,Tesla Inc ,06282016,Mobileye shares sink on news Tesla contract won't be extended ,July 26 Shares of Mobileye NV  an Israeli maker of driving-assistance chips and software  plummeted on Tuesday after the company said its contract with Tesla Motors Inc would not be renewed after its expiry.,normal
