TSLA,Tesla Inc ,06282016,Panasonic cuts profit view on upfront investment in Tesla battery plant ,TOKYO Japan's Panasonic Corp  on Monday said it has cut its annual profit forecast after bringing forward some of its investment in a battery plant for U.S. electric vehicle maker Tesla Motors Inc  in anticipation of strong EV demand.,topStory
TSLA,Tesla Inc ,06282016,UPDATE 2-Panasonic cuts profit view on upfront investment in Tesla battery plant ,* CEO says more investment in batteries to come on solid EV demand,normal
TSLA,Tesla Inc ,06282016,BRIEF-Panasonic sees shortage in battery production capacity if Tesla sales go smoothly ,* Expects a shortage in battery production capacity if Tesla Motors Inc sales go smoothly  Further company coverage:    (Reporting by Makiko Yamazaki),normal
