MSFT,Microsoft Corporation,06282016,BRIEF-Microsoft- Chief marketing officer reports open market sale ,* EVP  Chief Marketing Officer Christopher Capossela reports open market sale of 12 000 shares of common stock at average price of $59.57 per share on Nov 2  Source text - (http://bit.ly/2fAcIGE) Further company coverage:,topStory
INTC,Intel Corporation,06282016,BRIEF-Intel says acquiring VR startup Voke; financial terms not disclosed ,* Acquiring VR startup VOKE for immersive sports; financial terms are not being disclosed  Source text - http://intel.ly/2ek4L65 Further company coverage:,topStory
