MSFT,Microsoft Corporation,12312015,Skype co-founder launches ultra-private messaging  with video ,FRANKFURT A group of former Skype technologists  backed by the co-founder of the messaging platform  has introduced a new version of its own messaging service that promises end-to-end encryption for all conversations  including by video.,normal
INTC,Intel Corporation,12312015,Intel plans to sell part of venture capital unit: Bloomberg ,Intel Corp is looking to sell part of its venture capital portfolio  assets that could be worth as much as $1 billion  Bloomberg reported.,topStory
INTC,Intel Corporation,12312015,Intel plans to sell part of venture capital unit - Bloomberg ,March 11 Intel Corp is looking to sell part of its venture capital portfolio  assets that could be worth as much as $1 billion  Bloomberg reported.,normal
