MSFT,Microsoft Corporation,12312015,Federal Circuit saves part of Microsoft patent from Motorola challenge ,Microsoft Corp's patent on a way to show that a web browser is still loading content is not invalid  a U.S. appeals court said on Tuesday in the face of a challenge by Motorola Mobility and Google Inc.,topStory
TSLA,Tesla Inc ,12312015,Tesla says it has not finalized 2017 Model 3 design ,SAN FRANCISCO/DETROIT Tesla Motors Inc  said on Tuesday the design of its new Model 3 has not been finalized  even though the electric car maker expects to begin building the mass-market sedan within the next 18 months.,topStory
TSLA,Tesla Inc ,12312015,Tesla says it has not finalized 2017 Model 3 design ,SAN FRANCISCO/DETROIT  May 10 Tesla Motors Inc  said on Tuesday the design of its new Model 3 has not been finalized  even though the electric car maker expects to begin building the mass-market sedan within the next 18 months.,normal
