TSLA,Tesla Inc ,12312015,Virginia auto dealer group sues Tesla to stop 2nd store in state ,DETROIT The Virginia Automobile Dealers Association (VADA) on Wednesday filed a lawsuit against Tesla Motors Inc and Virginia state officials to keep the electric car maker from opening a second dealership in the state.,topStory
TSLA,Tesla Inc ,12312015,Virginia auto dealer group sues Tesla to stop second store in state ,DETROIT The Virginia Automobile Dealers Association (VADA) on Wednesday filed a lawsuit against Tesla Motors Inc  and Virginia state officials to keep the electric car maker from opening a second dealership in the state.,normal
TSLA,Tesla Inc ,12312015,Virginia auto dealer group sues Tesla to stop 2nd store in state ,DETROIT  March 9 The Virginia Automobile Dealers Association (VADA) on Wednesday filed a lawsuit against Tesla Motors Inc and Virginia state officials to keep the electric car maker from opening a second dealership in the state.,normal
