TSLA,Tesla Inc ,12312015,Pressure builds against short sellers targeting Tesla ,SAN FRANCISCO Potential losses are building against traders who have bet against Tesla Motors Inc .,topStory
TSLA,Tesla Inc ,12312015,U.S. hi-tech energy agency chief aims to outperform Tesla ,WASHINGTON A wing of the U.S. Department of Energy focused on breakthrough technologies may soon give billionaire entrepreneur Elon Musk's most recent foray into energy storage a run for its money  the unit's director said.,normal
TSLA,Tesla Inc ,12312015,U.S. hi-tech energy agency chief aims to outperform Tesla ,WASHINGTON  March 2 A wing of the U.S. Department of Energy focused on breakthrough technologies may soon give billionaire entrepreneur Elon Musk's most recent foray into energy storage a run for its money  the unit's director said.,normal
