TSLA,Tesla Inc ,2017-01-11,European carmakers hope to catch Tesla with faster e-car chargers ,FRANKFURT Europe's biggest carmakers are drawing on the full force of the continent's industrial prowess to build a network of ultra-fast charging stations as they look to stoke demand for electric cars and break Tesla's stranglehold on the market.,topStory
TSLA,Tesla Inc ,2017-01-11,European carmakers hope to catch Tesla with faster e-car chargers ,* New stations would allow long range charge in minutes  not hours,normal
TSLA,Tesla Inc ,2017-01-11,Tesla taps Apple engineer for Autopilot software ,Jan 10 Electric carmaker Tesla Motors Inc  has hired a key Apple Inc software engineer to oversee its Autopilot self-driving software efforts  Tesla said in a blog post Tuesday.,normal
