MSFT,Microsoft Corporation,12312016,BRIEF-MGM Resorts says inks meetings deal with Microsoft ,* MGM Resorts says inks meetings deal with Microsoft  Source text for Eikon:  Further company coverage:,topStory
TSLA,Tesla Inc ,12312016,Auto union courts Tesla workers  amplifies 'buy American' message ,DETROIT United Auto Workers President Dennis Williams said on Thursday the union is contacting workers at Silicon Valley electric car maker Tesla Inc   and plans to boost efforts to convince U.S. consumers not to buy vehicles built in other countries  including those sold by the Detroit automakers.,topStory
TSLA,Tesla Inc ,12312016,Auto union president: Organizing at Tesla depends on workers ,The president of the United Auto Workers union said on Thursday UAW organizers are in contact with workers at Silicon Valley electric car maker Tesla Inc   but said any formal effort to organize workers will "be determined by the interest of employees.",normal
TSLA,Tesla Inc ,12312016,Auto union president: Organizing at Tesla depends on workers ,Feb 16 The president of the United Auto Workers union said on Thursday UAW organizers are in contact with workers at Silicon Valley electric car maker Tesla Inc  but said any formal effort to organize workers will "be determined by the interest of employees.",normal
