TSLA,Tesla Inc ,2017-10-22,Tesla reaffirms effort to build cars in China; mum on deal report ,Electric car maker Tesla Inc  reaffirmed on Sunday it is talking with the Shanghai municipal government to set up a factory in the region and expects to agree on a plan by the end of the year  but declined to comment on a report that a deal has been reached.,topStory
TSLA,Tesla Inc ,2017-10-22,UPDATE 1- Tesla reaffirms effort to build cars in China; mum on deal report ,Oct 22 Electric car maker Tesla Inc reaffirmed on Sunday it is talking with the Shanghai municipal government to set up a factory in the region and expects to agree on a plan by the end of the year  but declined to comment on a report that a deal has been reached.,normal
TSLA,Tesla Inc ,2017-10-22,Tesla moves closer to deal to build cars in China ,Oct 22 Electric car maker Tesla Inc said on Sunday it is talking with the Shanghai municipal government to set up a factory in the region and expects to agree on a plan by the end of the year.,normal
