TSLA,Tesla Inc ,06062017,Tesla fired hundreds of employees in past week ,Luxury electric vehicle maker Tesla Inc  fired about 400 employees this week  including associates  team leaders and supervisors  a former employee told Reuters on Friday.,topStory
TSLA,Tesla Inc ,06062017,UPDATE 1-Tesla fired hundreds of employees in past week ,Oct 13 Luxury electric vehicle maker Tesla Inc fired about 400 employees this week  including associates  team leaders and supervisors  a former employee told Reuters on Friday.,normal
TSLA,Tesla Inc ,06062017,Tesla fired hundreds of employees in past week -Mercury News ,Oct 13 Luxury electric vehicle maker Tesla Inc fired between 400 and 700 employees this week  including engineers  managers and factory workers  Mercury News reported on Friday  citing interviews with former and current employees.,normal
