QCOM,QUALCOMM Incorporated,2017-11-30,Qualcomm files new patent infringement complaints against Apple ,Qualcomm Inc  said on Thursday it filed three new patent infringement complaints against Apple Inc   saying there were 16 more of its patents that Apple was using in its iPhones.,topStory
QCOM,QUALCOMM Incorporated,2017-11-30,UPDATE 1-Qualcomm files new patent infringement complaints against Apple ,Nov 30 Qualcomm Inc said on Thursday it filed three new patent infringement complaints against Apple Inc   saying there were 16 more of its patents that Apple was using in its iPhones.,normal
QCOM,QUALCOMM Incorporated,2017-11-30,Qualcomm files new patent infringement complaints against Apple ,Nov 30 Qualcomm Inc said on Thursday it filed three new patent infringement complaints against Apple Inc   saying there were 16 more of its patents that Apple was using in its iPhones.,normal
QCOM,QUALCOMM Incorporated,2017-11-30,BRIEF-Qualcomm Says It Has Filed 3 New Patent Infringement Complaints Against Apple In U.S. District Court ,* QUALCOMM SAYS IT HAS FILED 3 NEW PATENT INFRINGEMENT COMPLAINTS AGAINST APPLE IN U.S. DISTRICT COURT,normal
