TSLA,Tesla Inc ,2017-07-29,Tesla's Musk hands over first Model 3 electric cars to early buyers ,FREMONT  Calif. Tesla Chief Executive Officer Elon Musk said on Friday the Model 3 had over half a million advance reservations as he handed over  the first 30 to employee buyers  setting the stage for the biggest test yet of the company's strategy to become a profitable  mass market electric car maker. | Video ,topStory
TSLA,Tesla Inc ,2017-07-29,UPDATE 1-Tesla's Musk hands over first Model 3 electric cars to early buyers ,* Streamlined dashboard features one floating screen (Adds details from event  production numbers so far),normal
TSLA,Tesla Inc ,2017-07-29,Tesla's Musk hands over first Model 3 electric cars to early buyers ,FREMONT  Calif.  July 28 Tesla Chief Executive Officer Elon Musk said on Friday the Model 3 had over half a million advance reservations as he handed over  the first 30 to employee buyers  setting the stage for the biggest test yet of the company's strategy to become a profitable  mass market electric car maker.,normal
