TSLA,Tesla Inc ,06062017,Turkey's Erdogan  Tesla's Musk discuss cooperation with Turkish firms ,ANKARA Turkish President Tayyip Erdogan and Tesla Inc chief executive Elon Musk met on Wednesday to discuss cooperation between Tesla  SpaceX and Turkish firms  Turkey's presidential spokesman said.,topStory
TSLA,Tesla Inc ,06062017,Turkey's Erdogan  Tesla's Musk discuss cooperation with Turkish firms ,ANKARA  Nov 8 Turkish President Tayyip Erdogan and Tesla Inc chief executive Elon Musk met on Wednesday to discuss cooperation between Tesla  SpaceX and Turkish firms  Turkey's presidential spokesman said.,normal
TSLA,Tesla Inc ,06062017,RPT-INSIGHT-Peak oil? Majors aren't buying into the threat from renewables ,HOUSTON/LONDON  Nov 8 Two decades ago  BP set out to transcend oil  adopting a sunburst logo to convey its plans to pour $8 billion over a decade into renewable technologies  even promising to power its gas stations with the sun.,normal
TSLA,Tesla Inc ,06062017,Peak oil? Majors aren't buying into the threat from renewables ,HOUSTON/LONDON Two decades ago  BP set out to transcend oil  adopting a sunburst logo to convey its plans to pour $8 billion over a decade into renewable technologies  even promising to power its gas stations with the sun.,normal
TSLA,Tesla Inc ,06062017,INSIGHT-Peak oil? Majors aren't buying into the threat from renewables ,HOUSTON/LONDON  Nov 8 Two decades ago  BP set out to transcend oil  adopting a sunburst logo to convey its plans to pour $8 billion over a decade into renewable technologies  even promising to power its gas stations with the sun.,normal
