INTC,Intel Corporation,2017-06-13,BRIEF-Intel files for pricing of 2.700pct senior notes due 2024 ,* Files for pricing of 2.700pct senior notes due 2024 of upto $600.0 million Source text: (http://bit.ly/2syguG3) Further company coverage:,topStory
QCOM,QUALCOMM Incorporated,2017-06-13,CORRECTED-Born-again BlackBerry: Canadian icon hopes to ride trucks to growth ,BOLTON  Ontario  June 13 A visit to trucking firm Titanium Transportation helps explain why BlackBerry's stock is once again a darling in Canadian markets  having soared 70 percent in two months.,normal
QCOM,QUALCOMM Incorporated,2017-06-13,CORRECTED-Born-again BlackBerry: Canadian icon hopes to ride trucks to growth ,BOLTON  Ontario  June 9 A visit to trucking firm Titanium Transportation helps explain why BlackBerry's stock is once again a darling in Canadian markets  having soared 70 percent in two months.,normal
