TSLA,Tesla Inc ,2017-08-02,CORRECTED-UPDATE 1-Tesla's quarterly revenue beats estimates ,Aug 2 Electric-car maker Tesla Inc reported better-than-expected quarterly revenue and backed its delivery guidance for the second half of the year.,topStory
TSLA,Tesla Inc ,2017-08-02,Tesla quarterly revenue more than doubles ,Aug 2 Electric-car maker Tesla Inc's quarterly revenue more than doubled  driven by deliveries of its high-end Model S sedans and sports utility vehicle Model X.,normal
TSLA,Tesla Inc ,2017-08-02,GLOBAL MARKETS-Tech stocks bask in Apple glow  Dow eyeing 22 000 ,* Dollar losing ground to euro  which makes 18-mth peak on yen,normal
