MSFT,Microsoft Corporation,06062017,GE  Microsoft to announce deeper industrial internet partnership ,SAN FRANCISCO  Oct 25 General Electric Co and Microsoft Corp are due to announce a deeper partnership involving GE's Predix industrial internet platform and Microsoft's Azure cloud platform  a senior GE executive said.,topStory
TSLA,Tesla Inc ,06062017,VC firm DFJ probes sexual harassment charges against founding partner ,Venture capital firm Draper Fisher Jurvetson (DFJ)  which has invested in Tesla Inc's SpaceX  said it is independently probing sexual harassment allegations against its founding partner Steve Jurvetson.,topStory
TSLA,Tesla Inc ,06062017,VC firm DFJ probes sexual harassment charges against founding partner - The Information ,Oct 24 Venture capital firm Draper Fisher Jurvetson (DFJ)  which has invested in Tesla Inc's SpaceX  has hired an external law firm to probe sexual harassment allegations against founding partner Steve Jurvetson  the Information reported on Tuesday.,normal
