MSFT,Microsoft Corporation,2017-11-14,BRIEF-Soros Fund Management cuts share stake in Facebook and Twitter  ups in Microsoft ,* Soros Fund Management cuts share stake in Facebook Inc by 77.0 percent to 109 451 class A shares - SEC Filing,topStory
TSLA,Tesla Inc ,2017-11-14,Short-seller Chanos adds to Tesla bet  predicts CEO will leave ,NEW YORK Noted short-seller Jim Chanos of Kynikos Associates continued to add to his short position in electric car maker Tesla Inc  throughout the year even as the company's shares rallied  he said at the Reuters Global Investment 2018 Outlook Summit on Tuesday.,topStory
TSLA,Tesla Inc ,2017-11-14,REUTERS SUMMIT-Short-seller Chanos adds to Tesla bet  predicts CEO will leave ,NEW YORK  Nov 14 Noted short-seller Jim Chanos of Kynikos Associates continued to add to his short position in electric car maker Tesla Inc throughout the year even as the company's shares rallied  he said at the Reuters Global Investment 2018 Outlook Summit on Tuesday.,normal
