MSFT,Microsoft Corporation,2017-12-03,Southwest  Microsoft  Apple could benefit from tax plan - Barron's ,NEW YORK  Dec 3 Tax cuts that passed the Senate early on Saturday could bolster the shares of Southwest Airlines   Apple  Microsoft and Alphabet   according to a report in financial publication Barron's.,topStory
TSLA,Tesla Inc ,2017-12-03,Tesla switches on giant battery to shore up Australia's grid , (This Dec 1 story corrects paragraph 6 to clarify name and description of company) | Video ,topStory
TSLA,Tesla Inc ,2017-12-03,CORRECTED-Tesla switches on giant battery to shore up Australia's grid ,HORNSDALE  Australia  Dec 1 Tesla Inc switched on the world's biggest lithium ion battery on Friday in time to feed Australia's shaky power grid for the first day of summer  meeting a promise by Elon Musk to build it in 100 days or give it free.,normal
