MSFT,Microsoft Corporation,06062017,GLOBAL MARKETS-British pound falls after UK election shock  dollar gains ,* Wall Street hits new intra-day highs before paring most gains,normal
NVDA,NVIDIA Corporation,06062017,U.S. tech stock selloff leaves investors eyeing end of rally ,SAN FRANCISCO A steep drop in technology stocks on Friday  led by Apple's worst plunge in 14 months  has left investors concerned that a rally may be over for high-flying Silicon Valley names that have pushed Wall Street to record highs this year.,normal
NVDA,NVIDIA Corporation,06062017,RPT-U.S. tech stock selloff leaves investors eyeing end of rally ,SAN FRANCISCO  June 9 A steep drop in technology stocks on Friday  led by Apple's worst plunge in 14 months  has left investors concerned that a rally may be over for high-flying Silicon Valley names that have pushed Wall Street to record highs this year.,normal
NVDA,NVIDIA Corporation,06062017,US STOCKS-Tech stocks tumble  taking down Nasdaq as big names sink ,* Dow up 0.42 pct  S&P down 0.08 pct  Nasdaq down 1.8 pct (Updates to close with Apple's biggest decline in about 14 months  share details on Alphabet and Facebook),normal
NVDA,NVIDIA Corporation,06062017,US STOCKS-Tech stocks tumble  taking down Nasdaq ,* Dow up 0.42 pct  S&P down 0.08 pct  Nasdaq down 1.8 pct (Updates to close of U.S. markets),normal
QCOM,QUALCOMM Incorporated,06062017,EU antitrust regulators to investigate $38 billion Qualcomm  NXP deal ,BRUSSELS EU antitrust authorities opened an investigation on Friday into Qualcomm's  $38-billion bid for NXP Semiconductors   ratcheting up pressure on the U.S. smartphone chipmaker to offer concessions to address their concerns.,topStory
QCOM,QUALCOMM Incorporated,06062017,UPDATE 1-EU antitrust regulators to investigate $38 bln Qualcomm  NXP deal ,BRUSSELS  June 9 EU antitrust authorities opened an investigation on Friday into Qualcomm's $38-billion bid for NXP Semiconductors  ratcheting up pressure on the U.S. smartphone chipmaker to offer concessions to address their concerns.,normal
QCOM,QUALCOMM Incorporated,06062017,Qualcomm says confident can address EU concerns about NXP deal ,BRUSSELS U.S. smartphone chipmaker Qualcomm  said on Friday it was confident it would addressed EU antitrust concerns about its $38-billion bid for NXP Semiconductors   after EU regulators started an investigation into the deal.,normal
QCOM,QUALCOMM Incorporated,06062017,EU antitrust regulators to investigate $38 bln Qualcomm  NXP deal ,BRUSSELS  June 9 EU antitrust authorities opened on Friday an investigation into U.S. smartphone chipmaker Qualcomm's $38-billion bid for NXP Semiconductors   concerned that the merged company may squeeze out rivals and jack up prices.,normal
QCOM,QUALCOMM Incorporated,06062017,Qualcomm says confident can address EU concerns about NXP deal ,BRUSSELS  June 9 U.S. smartphone chipmaker Qualcomm said on Friday it was confident it would addressed EU antitrust concerns about its $38-billion bid for NXP Semiconductors  after EU regulators started an investigation into the deal.,normal
