TSLA,Tesla Inc ,2017-10-23,Saudi's Prince Alwaleed bin Talal says Tesla valuation "too exuberant" - CNBC ,DUBAI  Oct 23 Saudi Arabian billionaire Prince Alwaleed bin Talal said on Monday the valuation of electric car maker Tesla Inc was "too exuberant" for him to invest in the company.,topStory
TSLA,Tesla Inc ,2017-10-23,UPDATE 1-Bitcoin is 'Enron in the making'  Saudi Prince Alwaleed says ,RIYADH  Oct 23 Billionaire Saudi Prince Alwaleed bin Talal  who owns investment firm Kingdom Holding  expressed skepticism about cryptocurrencies in an interview with CNBC on Monday  warning that bitcoin was like "Enron in the making".,normal
TSLA,Tesla Inc ,2017-10-23,PRESS DIGEST -Wall Street Journal - Oct 23 ,Oct 23 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
