TSLA,Tesla Inc ,2017-05-04,Tesla in talks to resolve issues with legacy Grohmann clients ,FRANKFURT Tesla Inc said it is seeking to resolve outstanding issues with legacy customers of its Grohmann engineering unit after a takeover by the Silicon Valley-based carmaker resulted in a shift in management priorities toward Tesla projects.,topStory
TSLA,Tesla Inc ,2017-05-04,Tesla in talks to resolve issues with legacy Grohmann clients ,FRANKFURT  May 4 Tesla Inc said it is seeking to resolve outstanding issues with legacy customers of its Grohmann engineering unit after a takeover by the Silicon Valley-based carmaker resulted in a shift in management priorities toward Tesla projects.,normal
TSLA,Tesla Inc ,2017-05-04,Dip in Tesla's customer deposits triggers worries over orders ,A 7 percent drop in Tesla Inc's  customer deposits in its latest quarter raised concerns about future sales at the U.S. luxury electric-car maker.,normal
TSLA,Tesla Inc ,2017-05-04,Dip in Tesla's customer deposits triggers worries over orders ,May 4 A 7 percent drop in Tesla Inc's customer deposits in its latest quarter raised concerns about future sales at the U.S. luxury electric-car maker.,normal
TSLA,Tesla Inc ,2017-05-04,Tesla plugs older Model S as new buyers turn to Model 3 ,SAN FRANCISCO Electric-car maker Tesla Inc  on Wednesday reported first-quarter revenue that more than doubled  and while saying the upcoming Model 3 was on schedule for July  it downplayed the mass-market vehicle to give a sales pitch for its more expensive Model S.,normal
