TSLA,Tesla Inc ,12312016,BRIEF-Tesla  Green Mountain Power working together to bundle Powerwall and Powerpack batteries ,* Tesla - co  green mountain power  a utility in vermont  working together to bundle powerwall and powerpack batteries into single resource of shared energy,topStory
QCOM,QUALCOMM Incorporated,12312016,BRIEF-Appaloosa LP dissolves share stake in Bristol Myers  Qualcomm ,* Appaloosa LP dissolves share stake in Bristol Myers Squibb Co - sec filing,topStory
QCOM,QUALCOMM Incorporated,12312016,EU mergers and takeovers (May 12) ,BRUSSELS  May 12 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
