MSFT,Microsoft Corporation,2015-06-08,Apple said to build high-speed data network: Bloomberg ,Apple Inc is setting up a high-speed network and upgrading how it builds data centers  to compete better with Amazon.com Inc  Google Inc and Microsoft Corp in cloud services  Bloomberg reported  citing people familiar with the plans.,topStory
TSLA,Tesla Inc ,2015-06-08,US STOCKS-Wall St lower; Dow sets course for fourth week of loss ,* Indexes down: Dow 0.15 pct  S&P 0.22 pct  Nasdaq 0.32 pct   (Adds details  changes comment and updates prices),topStory
TSLA,Tesla Inc ,2015-06-08,US STOCKS-Wall St modestly lower as rate hike timing concerns weigh ,* Indexes down: Dow 0.14 pct  S&P 0.13 pct  Nasdaq 0.18 pct   (Updates to open),normal
TSLA,Tesla Inc ,2015-06-08,UPDATE 1-Panasonic to send hundreds to Tesla Gigafactory  step up auto investment ,OSAKA  Japan  June 8 Japanese electronics group Panasonic Corp will dispatch hundreds of employees to Tesla Motors Inc's Nevada Gigafactory from this autumn to get ready to make lithium-ion batteries for electric cars at the plant from next year.,normal
TSLA,Tesla Inc ,2015-06-08,Panasonic to send hundreds to Tesla Gigafactory from autumn ,OSAKA  Japan  June 8 Japanese electronics group Panasonic Corp plans to send hundreds of its employees to Tesla Motors Inc's Gigafactory in Nevada from this autumn to prepare for production at the plant  which it confirmed will start sometime next year.,normal
QCOM,QUALCOMM Incorporated,2015-06-08,Qualcomm puts UK spectrum up for sale ,LONDON Chipmaker Qualcomm has put a chunk of spectrum up for sale in Britain which could appeal to mobile operators grappling with the demand for Internet access.,topStory
CSCO,Cisco Systems Inc,2015-06-08,CORRECTED-BRIEF- Cisco says Sprint to deploy Cisco hardware for intelligent Wi-Fi network ,(Corrects headline to "for intelligent Wi-Fi network" from "to construct and manage an intelligent")  June 8 Cisco Systems Inc :   * Cisco  Sprint  and Kansas City  announce agreement to deploy smart+connected city framework   * Says Sprint will deploy Cisco hardware to construct and manage an intelligent wi-fi network   * Source text for Eikon    * Further company coverage,topStory
