MSFT,Microsoft Corporation,2015-05-26,U.S. top court rules against Cisco Systems in patent infringement fight ,WASHINGTON The U.S. Supreme Court on Tuesday ruled against Cisco Systems Inc over a patent infringement claim the tech giant is fighting.,topStory
CSCO,Cisco Systems Inc,2015-05-26,U.S. top court rules against Cisco Systems in patent infringement fight ,WASHINGTON The U.S. Supreme Court on Tuesday ruled against Cisco Systems Inc over a patent infringement claim the tech giant is fighting.,topStory
CSCO,Cisco Systems Inc,2015-05-26,U.S. top court rules against Cisco Systems in patent infringement fight ,WASHINGTON  May 26 The U.S. Supreme Court on Tuesday ruled against Cisco Systems Inc over a $64 million patent infringement verdict the tech giant is fighting.,normal
