MSFT,Microsoft Corporation,2015-05-13,US STOCKS-Wall St little changed on weak data  bond market swings ,* Indexes up: Dow 0.1 pct  S&P 0.2 pct  Nasdaq 0.3 pct   (Updates to early afternoon),topStory
MSFT,Microsoft Corporation,2015-05-13,US STOCKS-Wall St pares early gains on weak data  bond market swings ,* Indexes up: Dow 0.03 pct  S&P 0.1 pct  Nasdaq 0.2 pct   (Adds details  changes comment  updates prices),normal
NVDA,NVIDIA Corporation,2015-05-13,BRIEF-Bloober Team's game Brawl to debut on NVIDIA Shield ,* Said on Tuesday its game Brawl will debut on NVIDIA Shield platform on June 11,topStory
CSCO,Cisco Systems Inc,2015-05-13,Cisco profit edges past estimates despite weak telecom spending ,Cisco Systems Inc's  quarterly profit edged past market estimates as demand for new switches  routers  wireless gear and servers made up for sluggish spending by telecom customers and weak sales in emerging markets.,topStory
CSCO,Cisco Systems Inc,2015-05-13,UPDATE 2-Cisco profit edges past estimates despite weak telecom spending ,* Adj profit/share $0.54 vs est $0.53   (Adds details  CEO comment),normal
CSCO,Cisco Systems Inc,2015-05-13,Cisco revenue rises 5 pct ,May 13 Network equipment maker Cisco Systems Inc  reported a 5.1 percent rise in quarterly revenue  helped by demand for its switching equipment and routers.,normal
