TSLA,Tesla Inc ,2015-11-19,SolarCity CEO: Credit score requirement won't be cut for years ,Nov 19 SolarCity Corp has no imminent plans to lower the credit score requirement for customers who lease their solar panel systems  and likely will not do so for a few years  its chief executive said on Thursday.,normal
INTC,Intel Corporation,2015-11-19,Intel warns that U.S. regulation could drive drone R&D overseas ,WASHINGTON Intel Corp could relocate its drone research and development operations overseas if the federal government adopts an "overly prescriptive" approach to unmanned aerial systems technology  an Intel executive told U.S. lawmakers on Thursday.,topStory
INTC,Intel Corporation,2015-11-19,Intel warns that U.S. regulation could drive drone R&D overseas ,WASHINGTON  Nov 19 Intel Corp could relocate its drone research and development operations overseas if the federal government adopts an "overly prescriptive" approach to unmanned aerial systems technology  an Intel executive told U.S. lawmakers on Thursday.,normal
