TSLA,Tesla Inc ,2015-05-01,Tesla moves into batteries that store energy for homes  businesses ,LOS ANGELES Tesla Motors Inc  on Thursday unveiled Tesla Energy - storage systems or batteries for homes  companies and utilities that will expand its business beyond electric vehicles and tap into a fast-growing area of the energy industry. | Video ,topStory
TSLA,Tesla Inc ,2015-05-01,UPDATE 3-Tesla moves into batteries that store energy for homes  businesses ,LOS ANGELES  April 30 Tesla Motors Inc  on Thursday unveiled Tesla Energy - storage systems or batteries for homes  companies and utilities that will expand its business beyond electric vehicles and tap into a fast-growing area of the energy industry.,normal
TSLA,Tesla Inc ,2015-05-01,US STOCKS-Wall St set to open higher as construction  factory data eyed ,* Futures up: Dow 85 pts  S&P 7 pts  Nasdaq 9 pts   (Adds details  comment  updates prices),normal
TSLA,Tesla Inc ,2015-05-01,BRIEF-Tesla moves into batteries that store energy for homes  businesses ,* Tesla CEO Elon Musk says "our goal is to fundamentally change the way the world uses energy on an extreme scale",normal
TSLA,Tesla Inc ,2015-05-01,Tesla unveils suite of batteries for homes  businesses ,HAWTHORNE  Calif.  April 30 Tesla Motors Inc  Chief Executive Elon Musk unveiled Tesla Energy - a suite of batteries for homes  businesses and utilities - a highly-anticipated plan to expand its business beyond electric vehicles.,normal
