MSFT,Microsoft Corporation,2015-01-03,UPDATE 2-Bad code update triggered Yahoo  Bing search crash-source ,SAN FRANCISCO  Jan 2 Yahoo Inc and Microsoft Corp search engines temporarily went dark on Friday after Microsoft pushed out a bad code update and then struggled to roll it back  a person briefed on the outages told Reuters.,topStory
INTC,Intel Corporation,2015-01-03,Vuzix says received Intel investment for smart glasses ,SAN FRANCISCO Vuzix Corporation said on Friday that Intel Corp invested $24.8 million in the company to speed up the launch of Internet-connected eyewear.,topStory
INTC,Intel Corporation,2015-01-03,Vuzix says received Intel investment for smart glasses ,SAN FRANCISCO  Jan 2 Vuzix Corporation said on Friday that Intel Corp invested $24.8 million in the company to speed up the launch of Internet-connected eyewear.,normal
