TSLA,Tesla Inc ,2015-01-13,Tesla CEO Musk says considering second U.S. plant  closer to East Coast ,DETROIT  Jan 13 Tesla Motors is planning to build factories in China and Europe and is considering a second U.S. plant  Chief Executive Elon Musk said on Tuesday.,topStory
TSLA,Tesla Inc ,2015-01-13,Tesla CEO says China sales weak  promises Model X by third quarter ,DETROIT Tesla Motors Inc  Chief Executive Elon Musk said on Tuesday that the electric luxury car maker's sales in China were "unexpectedly weak" during the fourth quarter  but sought to assure an audience in Detroit the problems are being fixed.,normal
TSLA,Tesla Inc ,2015-01-13,UPDATE 1-Tesla CEO says China sales weak  promises Model X by 3rd qtr ,DETROIT  Jan 13 Tesla Motors Inc Chief Executive Elon Musk said on Tuesday that the electric luxury car maker's sales in China were "unexpectedly weak" during the fourth quarter  but sought to assure an audience in Detroit the problems are being fixed.,normal
TSLA,Tesla Inc ,2015-01-13,Tesla shares slump 7 pct on weak China sales ,Jan 13 Tesla Motors Inc shares slumped late on Tuesday after Chief Executive Elon Musk said the electric luxury car maker's sales in China were "unexpectedly weak" during the fourth quarter. But he assured an audience in Detroit the problems are being fixed.,normal
