MSFT,Microsoft Corporation,2015-04-02,Microsoft brings document scanner app to iPhones  Android ,SEATTLE  April 2 Microsoft Corp said on Thursday it is bringing one of its most popular apps  which lets people take photos of a document and turn it into a editable file  to Apple Inc's iPhone and Google Inc's  Android.,topStory
INTC,Intel Corporation,2015-04-02,BRIEF-Ingenico Group and Intel to bring payments to the Internet of Things ,* Ingenico Group and Intel Corp to bring payments to the Internet of Things,topStory
INTC,Intel Corporation,2015-04-02,Check Point to buy Israel's Lacoon Mobile Security ,TEL AVIV Internet and network security provider Check Point Software Technologies will buy Israel-based Lacoon Mobile Security for tens of millions of dollars  it said on Thursday.,normal
