TSLA,Tesla Inc ,2015-04-06,US STOCKS-Wall St ends higher as weak data reduces rate hike worries ,* Indexes up: Dow 0.7 pct  S&P 0.7 pct  Nasdaq 0.6 pct   (Updates to close),topStory
TSLA,Tesla Inc ,2015-04-06,US STOCKS-Wall St climbs as weak data reduces rate worries ,* Indexes up: Dow 0.9 pct  S&P 0.9 pct  Nasdaq 0.8 pct   (Updates to afternoon trading),normal
TSLA,Tesla Inc ,2015-04-06,US STOCKS-Wall St gains as weak jobs data seen delaying Fed rate rise ,* Indexes up: Dow 0.71 pct  S&P 0.72 pct  Nasdaq 0.56 pct   (Updates to midday),normal
TSLA,Tesla Inc ,2015-04-06,US STOCKS-Wall Street to open lower in wake of weak jobs data ,* Futures off: Dow 129 pts  S&P 14.5 pts  Nasdaq 30 pts   (Adds upcoming data  Uniqure  Qualcomm  Tesla; updates prices),normal
INTC,Intel Corporation,2015-04-06,Tweet on Altera-Intel talks came after options trades ,NEW YORK A March 27 tweet sent the same minute as news broke that chipmaker Intel Corp was in talks to buy Altera Corp appeared to come after very timely trades in Altera's options by several seconds  according to Thomson Reuters data.,topStory
INTC,Intel Corporation,2015-04-06,Tweet on Altera-Intel talks came after options trades ,NEW YORK  April 6 A March 27 tweet sent the same minute as news broke that chipmaker Intel Corp was in talks to buy Altera Corp appeared to come after very timely trades in Altera's options by several seconds  according to Thomson Reuters data.,normal
QCOM,QUALCOMM Incorporated,2015-04-06,US STOCKS-Wall Street to open lower in wake of weak jobs data ,* Futures off: Dow 129 pts  S&P 14.5 pts  Nasdaq 30 pts   (Adds upcoming data  Uniqure  Qualcomm  Tesla; updates prices),topStory
