TSLA,Tesla Inc ,2015-01-15,Tesla's Musk woos Texas lawmakers  talks track  car plant ,AUSTIN  Texas/DETROIT Tesla Motors CEO Elon Musk urged Texas lawmakers on Thursday to ease restrictions on sales of his electric luxury cars as he floated the prospect of locating a new car factory or a test facility for his "hyperloop" mass transit concept in the state.,topStory
TSLA,Tesla Inc ,2015-01-15,CORRECTED-Tesla to hike electric car output to 'a few million' by 2025 ,DETROIT  Jan 13 Tesla Motors Inc plans to boost production of electric cars to "at least a few million a year" by 2025 from fewer than 40 000 last year  Chief Executive Officer Elon Musk said Tuesday.,normal
INTC,Intel Corporation,2015-01-15,Intel forecasts disappointing revenue; shares fall ,Chipmaker Intel Corp  forecast current-quarter revenue and gross margins that disappointed investors  sending its shares down more than 2 percent in extended trading.,topStory
INTC,Intel Corporation,2015-01-15,UPDATE 2-Intel forecasts disappointing revenue; shares fall ,Jan 15 Chipmaker Intel Corp forecast current-quarter revenue and gross margins that disappointed investors  sending its shares down more than 2 percent in extended trading.,normal
INTC,Intel Corporation,2015-01-15,US STOCKS-Wall St drops for 5th day on global weakness worry; Intel down late ,* Swiss National Bank scraps three-year-old euro cap on franc,normal
INTC,Intel Corporation,2015-01-15,Intel revenue rises 6.4 pct ,Jan 15 Intel Corp reported a 6.4 percent rise in quarterly revenue as sales of personal computers stabilized.,normal
QCOM,QUALCOMM Incorporated,2015-01-15,Virgin  Qualcomm to invest in Internet-via-satellite venture ,CAPE CANAVERAL  Fla. Richard Branson's Virgin Group and Qualcomm Inc will invest in a venture to build and fly a constellation of 648 satellites that can provide high-speed  global Internet access  company officials said on Thursday.,topStory
QCOM,QUALCOMM Incorporated,2015-01-15,Virgin  Qualcomm to invest in Internet-via-satellite venture ,CAPE CANAVERAL  Fla.  Jan 15 Richard Branson's Virgin Group and Qualcomm Inc will invest in a venture to build and fly a constellation of 648 satellites that can provide high-speed  global Internet access  company officials said on Thursday.,normal
