MSFT,Microsoft Corporation,2015-02-13,Bill Gates meets with China technology minister - ministry ,SHANGHAI  Feb 13 Bill Gates  Microsoft Corp's  former CEO  met with China's technology minister this week  said a Friday statement on the ministry website  days after U.S. tech groups expressed concerns over Chinese regulation damaging their businesses.,topStory
QCOM,QUALCOMM Incorporated,2015-02-13,Qualcomm deal sparks China smartphone patent skirmishes ,BEIJING Last summer  lawyers from Chinese telecoms gear maker ZTE Corp began writing to half a dozen local handset makers it believed used its patents. Its message was simple: it's time to pay up.,topStory
QCOM,QUALCOMM Incorporated,2015-02-13,Qualcomm deal sparks China smartphone patent skirmishes ,BEIJING  Feb 13 Last summer  lawyers from Chinese telecoms gear maker ZTE Corp began writing to half a dozen local handset makers it believed used its patents. Its message was simple: it's time to pay up.,normal
