MSFT,Microsoft Corporation,2015-05-12,BRIEF-Sunrise Communications enters into strategic partnership with Microsoft ,* Enters into a strategic partnership with Microsoft: cloud solution for enterprises  Source text - http://bit.ly/1bLVr5S Further company coverage:    (Gdynia Newsroom),topStory
TSLA,Tesla Inc ,2015-05-12,BRIEF-Enel Green Power reaches accord with Tesla on wind  solar batteries ,* reaches accord with Tesla to develop batteries for wind power and solar energy farms   Further company coverage:    (Reporting by Milan newsroom),topStory
TSLA,Tesla Inc ,2015-05-12,Tesla to modify electric vehicles for China to meet new charging standard ,BEIJING  May 12 Tesla Motors Inc said it will modify new electric vehicles it produces for China to fit the national charging standard in the world's biggest automobile market once that standard has been set.,normal
