TSLA,Tesla Inc ,2015-06-09,Tesla CFO Deepak Ahuja to retire  help find replacement ,DETROIT  June 9 Tesla Motors Chief Financial Officer Deepak Ahuja will retire later this year  but will stay on to help search for a successor  Chief Executive Officer Elon Musk told shareholders on Tuesday.,topStory
INTC,Intel Corporation,2015-06-09,Intel pledges $125 million for start-ups that back women  minorities ,SAN FRANCISCO Following up on its earlier pledge to spend $300 million over the next five years to improve diversity  Intel Corp promised more on Tuesday  this time to back companies with women and minorities in leadership roles.,topStory
INTC,Intel Corporation,2015-06-09,Intel pledges $125 mln for start-ups that back women  minorities ,SAN FRANCISCO  June 9 Following up on its earlier pledge to spend $300 million over the next five years to improve diversity  Intel Corp promised more on Tuesday  this time to back companies with women and minorities in leadership roles.,normal
