TSLA,Tesla Inc ,2015-09-02,Tesla Signature series Model X to begin delivery September 29 ,SAN FRANCISCO Tesla Motors Inc  said on Wednesday it would begin delivering its first luxury electric crossovers  the Model X Signature series  on Sept. 29 to customers who have already reserved the sport utility vehicles.,topStory
TSLA,Tesla Inc ,2015-09-02,UPDATE 1-Tesla Signature series Model X to begin delivery Sept 29 ,SAN FRANCISCO  Sept 2 Tesla Motors Inc  said on Wednesday it would begin delivering its first luxury electric crossovers  the Model X Signature series  on Sept. 29 to customers who have already reserved the sport utility vehicles.,normal
TSLA,Tesla Inc ,2015-09-02,Tesla Signature series Model X priced at $132 000 to $144 000 ,SAN FRANCISCO  Sept 2 Tesla Motors Inc  said on Wednesday that customers who reserved its first luxury electric crossover  the Model X Signature series  could now customize their models  with prices ranging from $132 000 and $144 000.,normal
