INTC,Intel Corporation,2015-10-08,EU mergers and takeovers (Oct 8) ,BRUSSELS  Oct 8 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
CSCO,Cisco Systems Inc,2015-10-08,Big Cisco bet on France offers relief from Air France fiasco ,PARIS Still reeling from front page images of shirtless Air France executives fleeing angry workers  the French government got a welcome boost on Thursday for its campaign to attract foreign investment from U.S. tech group Cisco.,topStory
CSCO,Cisco Systems Inc,2015-10-08,CORRECTED-Big Cisco bet on France offers relief from Air France fiasco ,PARIS  Oct 8 Still reeling from front page images of shirtless Air France executives fleeing angry workers  the French government got a welcome boost on Thursday for its campaign to attract foreign investment from U.S. tech group Cisco.,normal
